rank,donorId,name,wealthStatus,wealthAtSnapshot,nominalGiving,marketAdjustedGiving,inflationAdjustedGiving,charityAdjustedWealth,partialGivingHistory
1,warren-buffett,Warren Buffett,matched,154000000000,65783005552,222575746490.47,81893768982.26,376575746490.47,true
2,elon-musk,Elon Musk,matched,342000000000,621040000,964855810.32,691227826.79,342964855810.32,true
3,bill-gates,Bill Gates,matched,108000000000,43417752011,139944044268.45,55884564866.01,247944044268.45,true
4,jeff-bezos,Jeff Bezos,matched,215000000000,12941500000,30304550413.82,16200415255.91,245304550413.82,true
5,mark-zuckerberg,Mark Zuckerberg,matched,216000000000,3792375000,9815105191.42,4669916485.66,225815105191.42,true
6,larry-ellison,Larry Ellison,matched,192000000000,1184991516,4843767083.28,1539483620.27,196843767083.28,true
7,george-soros,George Soros,matched,7200000000,33850000000,181909300030.36,48931742836.84,189109300030.36,true
8,bernard-arnault,Bernard Arnault,matched,178000000000,120700000,289587330.97,150095780.54,178289587330.97,true
9,sergey-brin,Sergey Brin,matched,138000000000,3354040000,6461405095.63,3730111664.44,144461405095.63,true
10,larry-page,Larry Page,matched,144000000000,136343894,253706854.65,149253584.44,144253706854.65,true
11,michael-bloomberg,Michael Bloomberg,matched,105000000000,27200000000,38286491558.9,28404562893.5,143286491558.9,true
12,amancio-ortega,Amancio Ortega,matched,124000000000,1219418630,1829041279.43,1291298850.39,125829041279.43,true
13,melinda-gates,Melinda French Gates,matched,30400000000,12512240000,89086192210.56,22831038392.82,119486192210.56,true
14,jensen-huang,Jensen Huang,matched,98700000000,2596143309,14361218795.07,3739067485.54,113061218795.07,true
15,carlos-slim,Carlos Slim,matched,82500000000,4000000000,29913055922.89,6157628369.07,112413055922.89,true
16,michael-dell,Michael Dell,matched,97700000000,5790716144,9948317952.81,6236246467.27,107648317952.81,true
17,azim-premji,Azim Premji,matched,12000000000,15925000000,65964831768.92,21387775628.02,77964831768.92,true
18,charles-koch,Charles Koch,matched,67500000000,1066585076,3938354253.34,1414135572.12,71438354253.34,true
19,pony-ma,Pony Ma,matched,56200000000,2300000000,8523500179.96,3097412603.69,64723500179.96,true
20,hasso-plattner,Hasso Plattner,matched,15200000000,10983400000,43849137700.08,14935997916.47,59049137700.08,true
21,mackenzie-scott,MacKenzie Scott,matched,28200000000,26416000000,30341107845.58,26938354695.67,58541107845.58,true
22,li-ka-shing,Li Ka-shing,matched,38900000000,3845000000,17378376751.33,5126313048.06,56278376751.33,true
23,david-sainsbury,David Sainsbury,matched,533976600,2449084000,50980052981.46,4812981845.12,51514029581.46,true
24,phil-knight,Phil Knight,matched,35400000000,4892244602,15269055760.87,6180768937.85,50669055760.87,true
25,shiv-nadar,Shiv Nadar,matched,34500000000,1851082000,13972205762.07,2751658285.57,48472205762.07,true
26,george-kaiser,George Kaiser,matched,15400000000,5889417373,32501742295.13,8273649649.96,47901742295.13,true
27,stephen-schwarzman,Stephen Schwarzman,matched,44400000000,845459058,2926969425.55,1085229285.15,47326969425.55,true
28,ken-griffin,Ken Griffin,matched,42300000000,763415000,2314952642.26,908348179.13,44614952642.26,true
29,marilyn-simons,Marilyn Simons,matched,31000000000,3155536597,13278407576.51,4293530404.83,44278407576.51,true
30,aliko-dangote,Aliko Dangote,matched,23900000000,1250000000,16156209603.13,2189477237.03,40056209603.13,true
31,eric-schmidt,Eric Schmidt,matched,24000000000,4130852976,13938525996.7,5340524897.69,37938525996.7,true
32,donald-bren,Donald Bren,matched,18900000000,2099683979,15131523784.58,3324417964.26,34031523784.58,true
33,andrew-forrest,Andrew Forrest,matched,14400000000,5278808256,10281053909.72,5967905622.61,24681053909.72,true
34,chris-hohn,Chris Hohn,matched,9200000000,5810853665,15177303320.29,7138056148.45,24377303320.29,true
35,jan-koum,Jan Koum,matched,16500000000,2250533838,7874086892.23,2992006477.22,24374086892.23,true
36,lynn-schusterman,Lynn Schusterman,matched,4500000000,2698423960,17259517987.36,3798748677.74,21759517987.36,true
37,ray-dalio,Ray Dalio,matched,14000000000,2100000000,7535742601.98,2704906489.37,21535742601.98,true
38,dietmar-hopp,Dietmar Hopp,matched,5200000000,1784471250,13185805702.08,2647974676.43,18385805702.08,true
39,laurene-powell-jobs,Laurene Powell Jobs,matched,15600000000,1207000000,1588679912.35,1243508545.81,17188679912.35,true
40,peter-thiel,Peter Thiel,matched,16300000000,70282000,441644376.46,99327966.62,16741644376.46,true
41,george-lucas,George Lucas,matched,5100000000,2568478151,11360855682.75,3369193216.48,16460855682.75,true
42,pierre-omidyar,Pierre Omidyar,matched,10200000000,1599389348,5732710387.85,2079788744.12,15932710387.85,true
43,john-doerr,John Doerr,matched,13800000000,1128312659,1920261379.54,1258339637.99,15720261379.54,true
44,hansjorg-wyss,Hansjörg Wyss,matched,4800000000,1692147845,10581714630.9,2387063272.19,15381714630.9,true
45,stanley-druckenmiller,Stanley Druckenmiller,matched,6900000000,1174429169,7607943748.31,1645609537.46,14507943748.31,true
46,david-geffen,David Geffen,matched,8700000000,1226000000,5133626660.55,1653720902.84,13833626660.55,true
47,edythe-broad,Edythe Broad,matched,7000000000,1018555676,5744867282.97,1475637435.43,12744867282.97,true
48,marc-benioff,Marc Benioff,matched,9800000000,873600000,2523119307.05,1052484466.25,12323119307.05,true
49,john-paulson,John Paulson,matched,3800000000,2090927323,8253010318.46,2815473567.73,12053010318.46,true
50,billi-marcus,Billi Marcus,matched,10300000000,793675755,1599468848.8,910763351.4,11899468848.8,true
51,bill-ackman,Bill Ackman,matched,9200000000,641997880,1788754109.28,813867857.6,10988754109.28,true
52,t-denny-sanford,T. Denny Sanford,matched,2100000000,2247000000,7946803947.97,2929045749.36,10046803947.97,true
53,michael-milken,Michael Milken,matched,7000000000,380112326,1118629849.89,478738672.56,8118629849.89,true
54,jed-mccaleb,Jed McCaleb,matched,2900000000,3116509075,5217009042.05,3532613291.91,8117009042.05,true
55,reed-hastings,Reed Hastings,matched,5200000000,1404000000,2374555974.21,1536721386.24,7574555974.21,true
56,oprah-winfrey,Oprah Winfrey,matched,3000000000,492932365,3081957228.73,692955357.27,6081957228.73,true
57,steven-spielberg,Steven Spielberg,matched,5300000000,140189799,521870912.69,184065502.18,5821870912.69,true
58,reid-hoffman,Reid Hoffman,matched,2400000000,893750000,3239005532.45,1195242326.21,5639005532.45,true
59,sean-parker,Sean Parker,matched,3000000000,498655009,2229686545.05,673981352.71,5229686545.05,true
60,jack-dorsey,Jack Dorsey,matched,3900000000,723242238,1071923214.07,764050844,4971923214.07,true
61,jk-rowling,J.K. Rowling,matched,1200000000,289200000,665129875.82,317642679.28,1865129875.82,true
62,jaan-tallinn,Jaan Tallinn,matched,754381600,110834500,162341976.41,119063225.68,916723576.41,true
,anne-wojcicki,Anne Wojcicki,unusable,,256900000,1470269461.16,361231194.54,,true
,barbara-picower,Barbara Picower,unmatched,,4236561682,21476878352.12,5853568595.68,,true
,ben-hoskin,Ben Hoskin,unmatched,,114209,360692.12,150650.47,,true
,blake-borgeson,Blake Borgeson,unmatched,,13075449,19614344.89,13802804.63,,true
,cari-tuna,Cari Tuna,unusable,,3068562864.5,6800971363.89,3604584315.29,,true
,connie-ballmer,Connie Ballmer,unusable,,3530000000,7508321268.37,4419483494.25,,true
,dustin-moskovitz,Dustin Moskovitz,unusable,,3068562864.5,6800971363.89,3604584315.29,,true
,haseeb-qureshi,Haseeb Qureshi,unmatched,,367170,1198375.16,482653.08,,true
,jeremy-grantham,Jeremy Grantham,unmatched,,570642275,1853650481.58,711841390.61,,true
,john-arnold,John Arnold,unusable,,1547712406,4519027253.72,1881527643.08,,true
,laura-arnold,Laura Arnold,unusable,,1547712406,4519027253.72,1881527643.08,,true
,lisbet-rausing,Lisbet Rausing,unmatched,,1469778094,6217205946.48,1999107955.82,,true
,misha-gurevich,Misha Gurevich,unmatched,,360370,684160.71,393143.16,,true
,oliver-habryka,Oliver Habryka,unmatched,,290800,479777.68,308242.64,,true
,steve-ballmer,Steve Ballmer,unusable,,3602500000,7954239171.37,4527487101.46,,true
,vitalik-buterin,Vitalik Buterin,unusable,,1137292876,2010425293.27,1355614716.33,,true
